tic_id,n_sectors
150030205,45
142108949,45
142052876,45
141910606,45
141865875,45
141805180,45
278865342,45
278777070,45
278899461,45
149971828,45
278776865,45
149988523,45
141527579,45
350765919,45
176876294,45
350297825,45
348841203,45
141770198,45
141810080,45
278683844,44
278683664,44
260127606,44
260127241,44
293268667,44
260042834,44
260041674,44
141941708,44
149971754,44
350299588,44
350765991,44
350742475,44
382303117,44
167523976,44
350823719,44
348839788,44
150393390,44
350862394,44
374912345,44
364326480,44
382256692,44
150392584,44
375059587,44
370227780,44
350298145,44
260708537,44
260605873,44
260640910,44
278683641,44
142052608,44
142085842,44
176873028,44
41173537,44
260420061,44
260128701,43
260131665,43
260079513,43
260655847,43
261417533,43
260659557,43
309792357,43
141809220,43
149302552,43
309659126,43
179201107,43
309702035,43
141911519,43
149301575,43
287298969,43
149269178,43
149250753,43
260043481,43
278897257,43
141975926,43
260004324,43
260002453,43
278730120,43
260078030,43
141976247,43
260162387,43
260507093,43
260419879,43
149102762,43
149121385,43
142082942,43
350522196,43
350444342,43
350559457,43
149347992,43
177252842,43
140997242,43
350343922,43
350822079,43
350842552,43
141526547,43
141527965,43
382268851,43
350843855,43
350584963,43
141543744,43
350655963,43
150274386,43
364540782,43
382260143,43
141472806,43
364589441,43
350858713,43
149497700,43
141423634,43
141335886,43
141411201,43
167205241,43
364588501,43
150431659,43
150431920,43
150431791,43
150391988,43
141152931,43
382186942,43
150359260,43
382160187,43
382198789,43
150322340,43
150029538,43
382187278,42
382198673,42
382199165,42
382200050,42
41259424,42
149497993,42
350825116,42
350824219,42
350821790,42
141151953,42
260415151,42
177241993,42
149935360,42
177254154,42
149347480,42
382145521,42
149102723,42
150359500,42
350820908,42
260609189,42
260640693,42
31381302,42
31530164,42
149347629,42
348842808,42
350763936,42
141823881,42
270474308,42
260606533,42
149125377,42
260192754,42
260506296,42
382028854,42
141186075,42
179376451,42
260003329,42
278895705,42
309791758,42
350933263,42
350335178,42
167089430,42
374944622,42
350335778,42
373523595,42
141413219,42
278684081,42
278684936,42
141280255,42
141334293,42
167045028,42
167126852,42
149390710,42
141482069,42
141471522,42
364302118,42
167337533,42
389506883,42
374859347,42
41030783,42
382032570,42
176872401,42
167552090,42
176875114,42
374996363,42
150164875,42
404974043,42
141608198,42
150300935,42
231744961,42
260352702,42
260503393,42
142144969,42
142146835,42
348839374,42
141628019,42
179582003,42
179637387,42
167415965,42
179201407,42
149423103,42
167574282,42
350443417,42
260356437,42
150273255,42
350584303,41
350559756,41
382157798,41
260474813,41
41533313,41
150322991,41
167344043,41
