std,ptp,roughness,p5,p95,skewness,kurtosis,tic_id,sector,cache_file,anomaly_score
0.4331092537450173,8.286255901343706,0.3312374705649409,0.42533221657334663,1.6126054570471338,1.550754919740991,29.453233030591292,350297825,64,TIC350297825_sector64.npy,0.8237880695775885
0.24444128301481075,3.1322307885580756,0.2638835799568997,0.6471690809806518,1.4188747010379883,1.6460769691171453,10.097018906726953,350297825,32,TIC350297825_sector32.npy,0.8121661903165055
0.18459320698385615,2.2390271805708677,0.19679050652190294,0.7139237974352337,1.3038154460030527,0.9860439297840462,5.756459260041375,350297825,31,TIC350297825_sector31.npy,0.8050540073159349
0.2109685685900573,1.9945603193938783,0.16439005940140636,0.6224472838820602,1.361637891418473,0.3822276148549315,2.3071667002103107,350297825,28,TIC350297825_sector28.npy,0.8009791907470395
0.18349673585066964,1.4120700720162525,0.2021347154400114,0.686949354292553,1.3049145689418522,-0.02860806359070662,0.2874140009232655,382303117,39,TIC382303117_sector39.npy,0.782763833443506
0.16218802093886475,1.286837811092827,0.1703789437097105,0.6896495078315068,1.2478287220061577,-0.1119389901643529,0.26965862056060574,382303117,68,TIC382303117_sector68.npy,0.7788018395784211
0.14973895764368395,1.7087108518908711,0.13177313575180666,0.786492844784258,1.2211114201374476,0.5909976128035003,4.519136888547321,350765919,68,TIC350765919_sector68.npy,0.7772226627942619
0.15045323331921742,1.263352141002175,0.11455642070671983,0.778976380426234,1.275883329084016,0.7591450655047561,2.1802208533591623,350297825,2,TIC350297825_sector2.npy,0.7714055710419486
0.14435408855416318,1.4087554364150932,0.09918016684338782,0.7731770669292762,1.2365878653133493,0.5320298566614476,2.401821775418176,350297825,12,TIC350297825_sector12.npy,0.7714055710419486
0.15097053553985018,1.2232482758594865,0.1553555399326657,0.7560691366513018,1.2420142721171779,-0.012017533225725106,0.37659571497201005,382303117,38,TIC382303117_sector38.npy,0.7668148169708704
0.16098401084060496,1.0678483521823439,0.16675051218815723,0.7472624851573649,1.271726056662135,0.02908784409284702,0.19234101666027392,382303117,90,TIC382303117_sector90.npy,0.7663346326445037
0.1501430600720901,1.2479297225060835,0.14478399494607336,0.7380456202993009,1.2325329898195716,-0.04937555853303632,0.4497661043251382,382303117,65,TIC382303117_sector65.npy,0.7659448053214416
0.14600292816019378,1.2425213020873365,0.11424405361561812,0.7801176248066034,1.2687899098662745,0.49911453988246246,1.4599723251617007,350297825,1,TIC350297825_sector1.npy,0.7641331540035602
0.14412046430818193,1.1555809611506263,0.1473785038596465,0.7680473650041723,1.2521845359117578,0.12480756552041775,0.48647505174920713,348841203,61,TIC348841203_sector61.npy,0.762841741414338
0.1446125175155614,1.101176772891349,0.1611652738338007,0.7689060218116074,1.2379857013121416,0.09763910219764078,0.20138236892446493,382303117,63,TIC382303117_sector63.npy,0.7580454670444993
0.13743783494648804,1.2435480024150425,0.0968049611652877,0.8060599790973016,1.2468690578874606,0.8270304289226164,2.6759572139539936,350297825,3,TIC350297825_sector3.npy,0.758029471171706
0.14918143243623352,1.0436785971657994,0.15648112761659977,0.7727167623149818,1.2504176371644098,-0.03117224328499276,0.10288378315939406,382303117,66,TIC382303117_sector66.npy,0.7567186017376907
0.14194709264318514,1.1184498420526998,0.14387142299540537,0.7800192793475763,1.2525787688894847,0.2804311266411545,0.37022403227827727,382303117,96,TIC382303117_sector96.npy,0.7531887020663561
0.13671178460582661,1.1359852907794492,0.09652089378811736,0.794168993412604,1.2429844020510037,0.5448075072527954,1.9728687664528568,350297825,6,TIC350297825_sector6.npy,0.7508831571590867
0.11735597844450647,1.4197081171548356,0.1053810013872454,0.8417145232682037,1.1785117200578021,0.9394656169147949,7.354882680774926,350297825,65,TIC350297825_sector65.npy,0.7488194724482617
0.10675615446283782,1.8656040420594402,0.09798162824468198,0.8571134417081797,1.1384147697076639,0.5909105165369489,16.416553092637976,350297825,29,TIC350297825_sector29.npy,0.7461645153837455
0.12212916328240839,1.33624873393219,0.08261082797368173,0.8295958544494937,1.2017731126583444,0.7567311493321263,3.8521240374016026,350297825,11,TIC350297825_sector11.npy,0.7429975961257876
0.11876235058508983,1.419018479832243,0.07856364902058882,0.8281363055613685,1.1928995553705828,0.6281666860396672,4.632542453396705,350297825,13,TIC350297825_sector13.npy,0.7418640757881562
0.14300358971153954,0.9076599603956335,0.14559080724558363,0.7838067274920165,1.2594300145924913,-0.11219788019852392,-0.05537913363331315,382303117,93,TIC382303117_sector93.npy,0.7410423302981873
0.139912539867279,0.9881389917113056,0.1481595245408773,0.7766218236473583,1.2280500316640823,0.016506295251902316,0.19504949460893029,382303117,69,TIC382303117_sector69.npy,0.7389577708435644
0.0991343654422635,1.4927250500646312,0.09282675560994937,0.86015777150044,1.1280433348122756,1.4262012934091755,16.21060118334257,350297825,37,TIC350297825_sector37.npy,0.7358568608001251
